Глосса	Описание
1PL(EXCL) 	1 лицо, мн.ч., эксклюзив
1PL(EXCL).ACC 	1 лицо, мн.ч., эксклюзив + аккузатив
1PL(INCL)	1 лицо, мн.ч., эксклюзив
1PL(INCL)	1 лицо, мн.ч., инклюзив
1SG	1 лицо, ед. ч.
2SG	2 лицо, ед. ч.
3SG	3 лицо, ед. ч.
2PL	2 лицо, мн.
3PL	3 лицо, мн.
ABL 	аблатив
ACC 	аккузатив
ACC.RFL 	аккузатив + рефлексивная принадлежность
ACC.RFL.PL 	аккузатив + рефлексивная принадлежность + мн.
ACCIN 	аккузатив неопределенный
ADAPT 	адаптация заимствований
ADJ 	адъективизатор
ADV 	адвербиализатор
ADVR.ORDER 	адвербиализатор
ADVZ 	адвербиализатор
ADVZ.MOD 	адвербиализатор
ADVZ.ORDER 	адвербиализатор
ADVZ.QT 	адвербиализатор
ADVZ.VERB 	адвербиализатор
ALL 	аллатив
ATR 	атрибутив
ATR.FAN 	атрибутив
ATR.LOC 	атрибутив
ATR.MUCH 	атрибутив
ATR.PROPR 	атрибутив
ATR.QUAL 	атрибутив
ATR.QUANT 	атрибутив
ATR.RECPST 	атрибутив
ATR.STAT 	атрибутив
ATR.TEMP 	атрибутив
ATR.TMP 	атрибутив
ATTEN 	аттенуатив
CAUS 	каузатив
CHILD 	деривация: детеныш
COLL 	коллективное мн
COM 	комитатив
COM.FAM 	комитатив для членов семьи
COMIT 	комитатив
COMP 	сравнительная степень
COMPAR 	сравнительная степень
CON 	уступка
COND 	условное наклонение
COVER 	деривация: покрытие
CVANT 	деепричастие
CVBND 	деепричастие
CVCON 	деепричастие
CVCOND 	деепричастие
CVCOND.DS 	деепричастие
CVCOND.SS 	деепричастие
CVDSPRS 	деепричастие
CVINT 	деепричастие
CVITER 	деепричастие
CVLIM 	деепричастие
CVNSIM 	деепричастие
CVPOST 	деепричастие
CVPURP 	деепричастие
CVSIM 	деепричастие
DATLOC 	датив/локатив
DAY 	деривация: день
DEADREL 	деривация: покойный родственник
DECAUS 	декаузатив
DER 	деривация
DES 	дезидератив
DEST.FAG 	деривация: съедобное
DIM 	диминутив
DISTR 	дистрибутив
DSPRS 	дисперсив
DUR 	дуратив
ELAT 	элатив
EQT 	экватив
EVERY 	деривация: всеобщность
FAG 	деривация: съедобное
FAKE 	деривация: поддельное
FAM 	деривация: родственник
FOC 	фокусная частица
FUT 	будущее
FUTCNT 	будущее ближайшее
HAB 	хабитуалис
HABPROB 	хабитуалис + пробабилитив
HYDR.NAME 	деривация: название гидронима
IMPER.1PL(INCL) 	императив 1мн (инклюзив)
IMPER.1SG 	императив 1ед
IMPER.2PL 	императив: 2мн
IMPER.2SG 	императив: 2ед
IMPER.3PL 	императив: 3мн
IMPER.3SG 	императив: 3ед
IMPERDIST.2PL 	императив будущего времени: 2мн
IMPERDIST.2SG 	императив будущего времени: 2ед
IMPERDIST.3SG 	императив будущего времени: 2ед
INCEP 	инцептив
INCH 	инхоатив
INDEF 	неопределенность
INDPS 	отчуждаемая принадлежность
INF 	инфинитив
INSTR 	инструменталис
INTENT 	деривация: намерение
INTER 	воспросительная частица / слово
INTS 	интенсификатор
IPFV 	имперфектив
ITER 	итератив
LIM 	рестриктивная частица
LOCALL 	локатив-аллатив
LOCDIR 	локатив-директив
MCOND 	условное наклонение
MISPRINT 	опечатка
NEG 	отрицательный глагол
NEW.FAM 	деривация: родственник
NFUT 	небудущее время
NMLZ 	номинализатор
NMLZ.AG 	номинализатор
NMLZ.AG.SLIP 	номинализатор
NMLZ.DOG 	номинализатор
NMLZ.INST 	номинализатор
NMLZ.LOC 	номинализатор
NMLZ.QUAL 	номинализатор
NMLZ.RES 	номинализатор
NMLZ.REST 	номинализатор
NMLZ.RS 	номинализатор
NMLZ.SET 	номинализатор
NMLZ.TEMP 	номинализатор
NMLZ.TEMP.SLIP 	номинализатор
NMLZ.THEME.RECPST 	номинализатор
ORD 	порядковое числительное
PANT 	причастие
PANT2 	причастие
PASS 	пассив
PDEB 	причастие
PEJOR 	пейоратив
PELT 	деривация: шкура
PEOPLE 	деривация: представитель народа
PFICT 	причастие
PHAB 	причастие
PIMMFUT 	причастие
PIMPDEB 	причастие
PL 	мн.
PL.COLL 	мн. коллективное
PNEG 	причастие
PNEG2 	причастие
PNEG2{**} 	причастие
PPF 	причастие
PPOST 	причастие
PREDEST 	деривация: предназначение
PRGRN 	перегринатив
PROB 	пробабилитив
PROL 	пролатив
PROPR 	проприетив
PRS 	настоящее время
PS1PL(EXCL) 	принадлежность + 1мн (эксклюзив)
PS1PL(INCL) 	принадлежность + 1мн (инклюзив)
PS1SG 	принадлежность + 1ед
PS2PL 	принадлежность + 2мн
PS2SG 	принадлежность + 2ед
PS3PL 	принадлежность + 3мн
PS3SG 	принадлежность + 3ед
PSIM 	причастие
PSIM2 	причастие
PSIMN 	причастие
PST 	прошедшее время
PSTITER 	прошедшее время + итератив
QA 	вид быстроты действия
QUANT 	деривация: количество
QUEST 	воспросительная частица / слово
RECIP 	реципрок
RESID 	деривация: житель
RFL 	рефлексив
RFL.ACC 	рефлексив + аккузатив
RFL.PL 	рефлексив + мн
ROOM 	деривация: место для X
RYTHM 	ритмическая вставка
SIDE 	деривация: сторона
SLIP 	оговорка
STAT 	статив
STAT.DSPRS 	статив + дисперсив
SUPERL 	превосходная степень
TR 	транзитиватор
VBLZ 	вербализатор
VBLZ.FACT 	вербализатор
VBLZ.FAG 	вербализатор
VBLZ.GATHER 	вербализатор
VBLZ.HUNT 	вербализатор
VBLZ.INCH 	вербализатор
VBLZ.INST 	вербализатор
VBLZ.LOC 	вербализатор
VBLZ.OBJ 	вербализатор
VBLZ.PLAY 	вербализатор
VBLZ.PROSP 	вербализатор
VBLZ.PROSP.HUNT 	вербализатор
VBLZ.QT 	вербализатор
VOC 	звательный падеж
